Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
07/15/2024,5.48,5.51,5.43,5.40,5.23,4.85,4.44,4.23,4.13,4.16,4.23,4.56,4.46
07/12/2024,5.47,5.52,5.43,5.41,5.23,4.87,4.45,4.22,4.10,4.13,4.18,4.50,4.39
07/11/2024,5.48,5.53,5.44,5.41,5.25,4.91,4.50,4.26,4.13,4.15,4.20,4.51,4.41
07/10/2024,5.46,5.50,5.46,5.46,5.33,5.01,4.62,4.38,4.24,4.24,4.28,4.58,4.47
07/09/2024,5.45,5.51,5.46,5.46,5.34,5.02,4.62,4.37,4.24,4.25,4.30,4.59,4.49
07/08/2024,5.48,5.53,5.46,5.46,5.33,4.99,4.62,4.40,4.23,4.23,4.28,4.57,4.46
07/05/2024,5.48,5.53,5.46,5.46,5.34,4.98,4.60,4.39,4.22,4.23,4.28,4.57,4.47
07/03/2024,5.49,5.54,5.47,5.47,5.36,5.04,4.71,4.48,4.33,4.33,4.36,4.64,4.53
07/02/2024,5.48,5.47,5.47,5.44,5.36,5.07,4.74,4.54,4.39,4.40,4.43,4.71,4.60
07/01/2024,5.48,5.48,5.47,5.45,5.37,5.10,4.77,4.58,4.44,4.45,4.48,4.76,4.64
06/28/2024,5.47,5.47,5.48,5.45,5.33,5.09,4.71,4.52,4.33,4.33,4.36,4.61,4.51
06/27/2024,5.48,5.46,5.49,5.45,5.35,5.10,4.70,4.49,4.29,4.27,4.29,4.53,4.43
06/26/2024,5.44,5.46,5.50,5.46,5.36,5.13,4.71,4.53,4.32,4.32,4.32,4.55,4.45
06/25/2024,5.43,5.46,5.49,5.44,5.37,5.10,4.65,4.45,4.25,4.23,4.23,4.46,4.36
06/24/2024,5.42,5.46,5.50,5.45,5.37,5.10,4.71,4.46,4.27,4.25,4.25,4.48,4.38
06/21/2024,5.42,5.46,5.49,5.45,5.36,5.10,4.70,4.45,4.26,4.25,4.25,4.49,4.39
06/20/2024,5.42,5.46,5.50,5.46,5.37,5.10,4.70,4.45,4.26,4.25,4.25,4.49,4.39
06/18/2024,5.40,5.46,5.50,5.45,5.37,5.09,4.69,4.43,4.24,4.22,4.22,4.47,4.36
06/17/2024,5.45,5.47,5.52,5.46,5.39,5.11,4.75,4.50,4.30,4.28,4.28,4.52,4.40
06/14/2024,5.47,5.47,5.51,5.45,5.36,5.07,4.67,4.41,4.22,4.20,4.20,4.46,4.34
06/13/2024,5.47,5.47,5.51,5.45,5.36,5.07,4.68,4.42,4.24,4.23,4.24,4.50,4.40
06/12/2024,5.47,5.47,5.51,5.47,5.38,5.13,4.75,4.48,4.32,4.31,4.31,4.56,4.47
06/11/2024,5.46,5.47,5.52,5.46,5.39,5.17,4.81,4.57,4.41,4.40,4.39,4.62,4.53
06/10/2024,5.47,5.48,5.52,5.46,5.40,5.16,4.87,4.62,4.48,4.47,4.47,4.68,4.59
06/07/2024,5.47,5.47,5.52,5.47,5.40,5.17,4.87,4.65,4.46,4.45,4.43,4.64,4.55
06/06/2024,5.48,5.47,5.51,5.45,5.36,5.08,4.72,4.49,4.29,4.28,4.28,4.51,4.43
06/05/2024,5.48,5.48,5.51,5.46,5.37,5.08,4.72,4.50,4.31,4.29,4.29,4.52,4.44
06/04/2024,5.48,5.48,5.52,5.45,5.38,5.11,4.77,4.55,4.35,4.33,4.33,4.56,4.48
06/03/2024,5.49,5.49,5.52,5.46,5.39,5.14,4.82,4.62,4.42,4.41,4.41,4.63,4.55
05/31/2024,5.48,5.48,5.46,5.46,5.42,5.18,4.89,4.69,4.52,4.52,4.51,4.73,4.65
05/30/2024,5.48,5.48,5.46,5.48,5.42,5.19,4.92,4.74,4.57,4.57,4.55,4.76,4.69
05/29/2024,5.50,5.48,5.46,5.47,5.43,5.22,4.96,4.79,4.63,4.63,4.61,4.82,4.74
05/28/2024,5.50,5.48,5.46,5.51,5.43,5.21,4.94,4.75,4.56,4.56,4.54,4.74,4.66
