Year,Quarter,1 Mo-2 Mo_spread,1 Mo-3 Mo_spread,1 Mo-4 Mo_spread,1 Mo-6 Mo_spread,1 Mo-1 Yr_spread,1 Mo-2 Yr_spread,1 Mo-3 Yr_spread,1 Mo-5 Yr_spread,1 Mo-7 Yr_spread,1 Mo-10 Yr_spread,1 Mo-20 Yr_spread,1 Mo-30 Yr_spread,2 Mo-3 Mo_spread,2 Mo-4 Mo_spread,2 Mo-6 Mo_spread,2 Mo-1 Yr_spread,2 Mo-2 Yr_spread,2 Mo-3 Yr_spread,2 Mo-5 Yr_spread,2 Mo-7 Yr_spread,2 Mo-10 Yr_spread,2 Mo-20 Yr_spread,2 Mo-30 Yr_spread,3 Mo-4 Mo_spread,3 Mo-6 Mo_spread,3 Mo-1 Yr_spread,3 Mo-2 Yr_spread,3 Mo-3 Yr_spread,3 Mo-5 Yr_spread,3 Mo-7 Yr_spread,3 Mo-10 Yr_spread,3 Mo-20 Yr_spread,3 Mo-30 Yr_spread,4 Mo-6 Mo_spread,4 Mo-1 Yr_spread,4 Mo-2 Yr_spread,4 Mo-3 Yr_spread,4 Mo-5 Yr_spread,4 Mo-7 Yr_spread,4 Mo-10 Yr_spread,4 Mo-20 Yr_spread,4 Mo-30 Yr_spread,6 Mo-1 Yr_spread,6 Mo-2 Yr_spread,6 Mo-3 Yr_spread,6 Mo-5 Yr_spread,6 Mo-7 Yr_spread,6 Mo-10 Yr_spread,6 Mo-20 Yr_spread,6 Mo-30 Yr_spread,1 Yr-2 Yr_spread,1 Yr-3 Yr_spread,1 Yr-5 Yr_spread,1 Yr-7 Yr_spread,1 Yr-10 Yr_spread,1 Yr-20 Yr_spread,1 Yr-30 Yr_spread,2 Yr-3 Yr_spread,2 Yr-5 Yr_spread,2 Yr-7 Yr_spread,2 Yr-10 Yr_spread,2 Yr-20 Yr_spread,2 Yr-30 Yr_spread,3 Yr-5 Yr_spread,3 Yr-7 Yr_spread,3 Yr-10 Yr_spread,3 Yr-20 Yr_spread,3 Yr-30 Yr_spread,5 Yr-7 Yr_spread,5 Yr-10 Yr_spread,5 Yr-20 Yr_spread,5 Yr-30 Yr_spread,7 Yr-10 Yr_spread,7 Yr-20 Yr_spread,7 Yr-30 Yr_spread,10 Yr-20 Yr_spread,10 Yr-30 Yr_spread,20 Yr-30 Yr_spread
2004,Q1,,-0.024032258064516143,,-0.09387096774193537,-0.3117741935483871,-0.7769354838709677,-1.2533870967741936,-2.071290322580645,-2.591774193548387,-3.100322580645161,-3.968225806451613,,,,,,,,,,,,,,-0.06983870967741923,-0.28774193548387095,-0.7529032258064515,-1.2293548387096775,-2.047258064516129,-2.567741935483871,-3.076290322580645,-3.944193548387097,,,,,,,,,,,-0.21790322580645172,-0.6830645161290323,-1.1595161290322582,-1.9774193548387098,-2.4979032258064517,-3.0064516129032257,-3.8743548387096776,,-0.4651612903225806,-0.9416129032258065,-1.759516129032258,-2.2800000000000002,-2.7885483870967738,-3.6564516129032256,,-0.4764516129032259,-1.2943548387096775,-1.8148387096774194,-2.3233870967741934,-3.1912903225806453,,-0.8179032258064516,-1.3383870967741935,-1.8469354838709675,-2.7148387096774194,,-0.520483870967742,-1.029032258064516,-1.8969354838709678,,-0.508548387096774,-1.3764516129032258,,-0.8679032258064519,,
2004,Q2,,-0.14161290322580633,,-0.40516129032258064,-0.8209677419354838,-1.5001612903225805,-2.0174193548387094,-2.7664516129032255,-3.229354838709677,-3.64258064516129,-4.401129032258065,,,,,,,,,,,,,,-0.2635483870967743,-0.6793548387096775,-1.3585483870967743,-1.8758064516129032,-2.6248387096774195,-3.087741935483871,-3.500967741935484,-4.259516129032258,,,,,,,,,,,-0.4158064516129032,-1.095,-1.6122580645161289,-2.361290322580645,-2.824193548387097,-3.2374193548387096,-3.995967741935484,,-0.6791935483870968,-1.1964516129032257,-1.9454838709677418,-2.4083870967741934,-2.821612903225806,-3.5801612903225806,,-0.5172580645161289,-1.266290322580645,-1.7291935483870966,-2.1424193548387094,-2.900967741935484,,-0.7490322580645161,-1.2119354838709677,-1.6251612903225805,-2.383709677419355,,-0.4629032258064516,-0.8761290322580644,-1.6346774193548388,,-0.4132258064516128,-1.1717741935483872,,-0.7585483870967744,,
2004,Q3,,-0.1439062499999999,,-0.4184374999999998,-0.7050000000000001,-1.1865625,-1.5495312499999998,-2.135625,-2.5521875,-2.93140625,-3.69828125,,,,,,,,,,,,,,-0.2745312499999999,-0.5610937500000002,-1.04265625,-1.405625,-1.9917187500000002,-2.40828125,-2.7875000000000005,-3.5543750000000003,,,,,,,,,,,-0.2865625000000003,-0.7681250000000002,-1.13109375,-1.7171875000000003,-2.13375,-2.5129687500000006,-3.2798437500000004,,-0.4815624999999999,-0.8445312499999997,-1.430625,-1.8471875,-2.22640625,-2.99328125,,-0.36296874999999984,-0.9490625000000001,-1.365625,-1.7448437500000002,-2.51171875,,-0.5860937500000003,-1.0026562500000002,-1.3818750000000004,-2.14875,,-0.41656249999999995,-0.7957812500000001,-1.5626562499999999,,-0.37921875000000016,-1.14609375,,-0.7668749999999998,,
2004,Q4,,-0.2056451612903225,,-0.455806451612903,-0.6309677419354838,-0.9806451612903229,-1.2170967741935486,-1.6519354838709677,-2.013225806451613,-2.334032258064516,-3.0330645161290324,,,,,,,,,,,,,,-0.2501612903225805,-0.42532258064516126,-0.7750000000000004,-1.011451612903226,-1.4462903225806452,-1.8075806451612904,-2.1283870967741936,-2.82741935483871,,,,,,,,,,,-0.17516129032258076,-0.5248387096774199,-0.7612903225806456,-1.1961290322580647,-1.5574193548387099,-1.878225806451613,-2.5772580645161294,,-0.3496774193548391,-0.5861290322580648,-1.020967741935484,-1.382258064516129,-1.7030645161290323,-2.4020967741935486,,-0.2364516129032257,-0.6712903225806448,-1.03258064516129,-1.3533870967741932,-2.0524193548387095,,-0.4348387096774191,-0.7961290322580643,-1.1169354838709675,-1.8159677419354838,,-0.3612903225806452,-0.6820967741935484,-1.3811290322580647,,-0.3208064516129032,-1.0198387096774195,,-0.6990322580645163,,
2005,Q1,,-0.22819672131147506,,-0.5159016393442624,-0.7114754098360652,-1.093934426229508,-1.262950819672131,-1.5298360655737704,-1.7378688524590165,-1.9426229508196715,-2.4031147540983606,,,,,,,,,,,,,,-0.2877049180327873,-0.4832786885245901,-0.865737704918033,-1.034754098360656,-1.3016393442622953,-1.5096721311475414,-1.7144262295081965,-2.1749180327868856,,,,,,,,,,,-0.1955737704918028,-0.5780327868852457,-0.7470491803278687,-1.013934426229508,-1.221967213114754,-1.4267213114754091,-1.8872131147540983,,-0.38245901639344293,-0.5514754098360659,-0.8183606557377052,-1.0263934426229513,-1.2311475409836063,-1.6916393442622955,,-0.16901639344262298,-0.4359016393442623,-0.6439344262295084,-0.8486885245901634,-1.3091803278688525,,-0.2668852459016393,-0.4749180327868854,-0.6796721311475404,-1.1401639344262295,,-0.20803278688524607,-0.4127868852459011,-0.8732786885245902,,-0.20475409836065506,-0.6652459016393442,,-0.4604918032786891,,
2005,Q2,,-0.21703125000000023,,-0.4700000000000002,-0.6276562500000002,-0.9362500000000002,-1.0226562500000003,-1.1632812500000003,-1.2750000000000004,-1.4489062499999998,-1.8390625000000003,,,,,,,,,,,,,,-0.25296874999999996,-0.410625,-0.71921875,-0.805625,-0.94625,-1.0579687500000001,-1.2318749999999996,-1.62203125,,,,,,,,,,,-0.15765625000000005,-0.46625000000000005,-0.5526562500000001,-0.6932812500000001,-0.8050000000000002,-0.9789062499999996,-1.3690625,,-0.30859375,-0.395,-0.535625,-0.6473437500000001,-0.8212499999999996,-1.21140625,,-0.08640625000000002,-0.22703125000000002,-0.3387500000000001,-0.5126562499999996,-0.9028125,,-0.140625,-0.2523437500000001,-0.4262499999999996,-0.81640625,,-0.11171875000000009,-0.2856249999999996,-0.67578125,,-0.17390624999999948,-0.5640624999999999,,-0.3901562500000004,,
2005,Q3,,-0.20968750000000025,,-0.47843750000000007,-0.5625,-0.7293750000000001,-0.7606250000000001,-0.8107812499999998,-0.87984375,-0.9865624999999998,-1.2790625000000002,,,,,,,,,,,,,,-0.2687499999999998,-0.35281249999999975,-0.5196874999999999,-0.5509374999999999,-0.6010937499999995,-0.6701562499999998,-0.7768749999999995,-1.069375,,,,,,,,,,,-0.08406249999999993,-0.25093750000000004,-0.28218750000000004,-0.3323437499999997,-0.40140624999999996,-0.5081249999999997,-0.8006250000000001,,-0.1668750000000001,-0.1981250000000001,-0.2482812499999998,-0.31734375000000004,-0.4240624999999998,-0.7165625000000002,,-0.03125,-0.08140624999999968,-0.15046874999999993,-0.2571874999999997,-0.5496875000000001,,-0.05015624999999968,-0.11921874999999993,-0.22593749999999968,-0.5184375000000001,,-0.06906250000000025,-0.17578125,-0.4682812500000004,,-0.10671874999999975,-0.3992187500000002,,-0.2925000000000004,,
2005,Q4,,-0.21147540983606516,,-0.5483606557377043,-0.5863934426229505,-0.6624590163934427,-0.6701639344262289,-0.6890163934426226,-0.7236065573770492,-0.7860655737704909,-1.0654098360655735,,,,,,,,,,,,,,-0.33688524590163915,-0.3749180327868853,-0.45098360655737757,-0.45868852459016374,-0.4775409836065574,-0.512131147540984,-0.5745901639344257,-0.8539344262295083,,,,,,,,,,,-0.03803278688524614,-0.11409836065573842,-0.12180327868852459,-0.14065573770491824,-0.17524590163934484,-0.2377049180327866,-0.5170491803278692,,-0.07606557377049228,-0.08377049180327845,-0.1026229508196721,-0.1372131147540987,-0.19967213114754045,-0.47901639344262303,,-0.007704918032786168,-0.02655737704917982,-0.06114754098360642,-0.12360655737704818,-0.40295081967213076,,-0.018852459016393652,-0.05344262295082025,-0.11590163934426201,-0.3952459016393446,,-0.0345901639344266,-0.09704918032786836,-0.37639344262295094,,-0.06245901639344176,-0.34180327868852434,,-0.2793442622950826,,
2006,Q1,,-0.1479032258064521,,-0.29854838709677445,-0.2816129032258061,-0.24596774193548399,-0.22387096774193616,-0.1937096774193554,-0.19677419354838754,-0.21838709677419388,-0.4153225806451619,-0.30434587813620073,,,,,,,,,,,,,-0.15064516129032235,-0.13370967741935402,-0.09806451612903189,-0.07596774193548406,-0.04580645161290331,-0.048870967741935445,-0.07048387096774178,-0.2674193548387098,-0.15644265232974863,,,,,,,,,,0.016935483870968326,0.05258064516129046,0.07467741935483829,0.10483870967741904,0.1017741935483869,0.08016129032258057,-0.11677419354838747,-0.0057974910394262835,0.035645161290322136,0.057741935483869966,0.08790322580645071,0.08483870967741858,0.06322580645161224,-0.1337096774193558,-0.02273297491039461,0.02209677419354783,0.05225806451612858,0.04919354838709644,0.027580645161290107,-0.16935483870967794,-0.058378136200716746,0.030161290322580747,0.02709677419354861,0.005483870967742277,-0.19145161290322577,-0.08047491039426458,-0.0030645161290321354,-0.02467741935483847,-0.2216129032258065,-0.11063620071684532,-0.021612903225806335,-0.21854838709677438,-0.10757168458781319,-0.19693548387096804,-0.08595878136200685,0.11097670250896119
2006,Q2,,-0.15523809523809629,,-0.35873015873015923,-0.3465079365079369,-0.32301587301587364,-0.31238095238095287,-0.3182539682539689,-0.343174603174603,-0.3977777777777778,-0.6157142857142865,-0.46809523809523856,,,,,,,,,,,,,-0.20349206349206295,-0.1912698412698406,-0.16777777777777736,-0.15714285714285658,-0.16301587301587261,-0.18793650793650674,-0.2425396825396815,-0.46047619047619026,-0.3128571428571423,,,,,,,,,,0.012222222222222356,0.03571428571428559,0.04634920634920636,0.04047619047619033,0.01555555555555621,-0.039047619047618554,-0.2569841269841273,-0.10936507936507933,0.02349206349206323,0.034126984126984006,0.028253968253967976,0.0033333333333338544,-0.05126984126984091,-0.26920634920634967,-0.12158730158730169,0.010634920634920775,0.004761904761904745,-0.020158730158729377,-0.07476190476190414,-0.2926984126984129,-0.14507936507936492,-0.00587301587301603,-0.03079365079365015,-0.08539682539682492,-0.3033333333333337,-0.1557142857142857,-0.02492063492063412,-0.07952380952380889,-0.29746031746031765,-0.14984126984126966,-0.054603174603174764,-0.2725396825396835,-0.12492063492063554,-0.21793650793650876,-0.07031746031746078,0.14761904761904798
